asset symbol,Name,type,type_detail,address,decimal,network,stock_ticker
GMErobinhood,GameStop,Stocks,,0x98602aed96587ea199fac7da5ca95527f180abb6,18,arbitrum,GME
OPENrobinhood,Opendoor Technologies,Stocks,,0x8ece2ff10dfb235e199c10bf84c368e0e2e18fc3,18,arbitrum,OPEN
CAVArobinhood,CAVA,Stocks,,0x1292593d0b507ced88f874448550290a404159d9,18,arbitrum,CAVA
MAGSrobinhood,Roundhill Magnificent Seven ETF,ETFs,,0x576b8b4765e43812199aa6b6042c71cd3e69d1ab,18,arbitrum,MAGS
SGOVrobinhood,iShares 0-3 Month Treasury Bond,US Treasuries,,0x9838f4cb186abc7f35c12e38414b24b9bc058c1a,18,arbitrum,SGOV
KOLDrobinhood,ProShares UltraShort Bloomberg Natural Gas,ETFs,,0x1580a4c1a1d7922bb4684f01bf5ed15b7dcaed9f,18,arbitrum,KOLD
KWrobinhood,KraneShares CSI China Internet ETF,ETFs,,0x9db559b4291cea82c5b6aa7c7c6d09a6e8fa818e,18,arbitrum,KW
NVDArobinhood,NVIDIA,Stocks,,0xd798fb9fcc5208fb935e974cd3f673b95c9ee69e,18,arbitrum,NVDA
SPXUrobinhood,ProShares UltraPro Short S&P 500,ETFs,,0xad18b8d344ca1a38b008a7a2079374b031e99cdc,18,arbitrum,SPXU
VGTrobinhood,Vanguard Information Technology ETF,ETFs,,0x43d5cd66aff7ddf3e734ef790e924b7dd59bc4b4,18,arbitrum,VGT
NFLXrobinhood,Netflix,Stocks,,0xe5af9038f6aa63de88633e158a23ea8cd93a3783,18,arbitrum,NFLX
FSLRrobinhood,First Solar,Stocks,,0x8617952391e5c027803d6b69c67f55c3113f12dd,18,arbitrum,FSLR
LYFTrobinhood,Lyft,Stocks,,0xedc4ab4996f44592ad23df732c1779358a8d93f2,18,arbitrum,LYFT
VSTrobinhood,Vistra,Stocks,,0xdddaba31f9301315ee6d122b9907e2a5a69c4d84,18,arbitrum,VST
MSFTrobinhood,Microsoft,Stocks,,0x44f9bce486090d3f3e26768e3ece4c864616526f,18,arbitrum,MSFT
VUGrobinhood,Vanguard Growth ETF,ETFs,,0x72808083bbc9bd89affc9574bd8940505ee27eed,18,arbitrum,VUG
AIrobinhood,C3.AI,Stocks,,0x6948668bd487f6ada6ae4b67f7627d8364a39ce0,18,arbitrum,AI
CLSKrobinhood,CleanSpark,Stocks,,0x66b716857c99c85346613bd8620ec3559cd9b9fd,18,arbitrum,CLSK
BACrobinhood,Bank of America,Stocks,,0x24ca98cc46a9bf6f727e54b00efb26ed8f0a2065,18,arbitrum,BAC
KEYrobinhood,KeyBank,Stocks,,0x56ae7846e90c0b252e1580810aaaf17eeadae27e,18,arbitrum,KEY
XOMrobinhood,Exxon Mobil,Stocks,,0xeccd8e7bf85e81379fe4336b7efe4de3a3df8d03,18,arbitrum,XOM
AMZNrobinhood,Amazon,Stocks,,0xc78d6a55457f075b429bca8f50b961019e0888a3,18,arbitrum,AMZN
VYMIrobinhood,Vanguard International High Dividend Yield ETF,ETFs,,0x88f5eeb15d42faab7bc165e9f8c4a98e0dc43f9c,18,arbitrum,VYMI
LQDArobinhood,Liquidia,Stocks,,0xb4d38a3f8960c1a97fa50d3d2733949d11308dcd,18,arbitrum,LQDA
VEUrobinhood,Vanguard FTSE All-World Ex-US ETF,ETFs,,0xdcd1b7cf8b99dc3dc00a734bc71efc9477b7cbfc,18,arbitrum,VEU
PCVXrobinhood,"Vaxcyte, Inc. Common Stock",Stocks,,0xe9eb09891e34996ffdb776a9b3bc50c753fb0358,18,arbitrum,PCVX
PIIrobinhood,Polaris,Stocks,,0xa211fad11753a4a8c7ed3dfd44e9d0e5e41f49be,18,arbitrum,PII
LNGrobinhood,Cheniere Energy Inc,Stocks,,0x639cbf8e9fedb98812d20ca58ef4c84588ab0097,18,arbitrum,LNG
AGGrobinhood,iShares Core U.S. Aggregate Bond ETF,ETFs,,0x36b7b5132b26c3f31002b1db3bd3c4fa21896a47,18,arbitrum,AGG
NANCrobinhood,Unusual Whales Subversive Democratic Trading ETF,ETFs,,0x3c357e4deb03e657fe88f83995363dbd608ddf47,18,arbitrum,NANC
MBrobinhood,MasterBeef Group Ordinary Shares,Stocks,,0xb3d5f2c2e71faedf5da685dae2095fbc5fe68aff,18,arbitrum,MB
VDErobinhood,Vanguard Energy ETF,ETFs,,0xa73dfc7c2790999e2d377c69611e6ec091972065,18,arbitrum,VDE
HODLrobinhood,VanEck Bitcoin ETF,Crypto ETFs,,0xbf1141bc96ad0cca4186023d9dbd77bd53a2f020,18,arbitrum,HODL
METDrobinhood,Direxion Shares ETF Trust Direxion Daily META Bear 1X Shares,ETFs,,0xeaab60dded22492b13522258862029419f4b8dd5,18,arbitrum,METD
SPUUrobinhood,Direxion Daily S&P 500 Bull 2X Shares,ETFs,,0xc8d49b7e3a5c04bc3ce2bd37e866b20b139ef3d9,18,arbitrum,SPUU
SNrobinhood,"SharkNinja, Inc.",Stocks,,0x8d750cdb8d761e7af3b7de8fb487dec1bd708035,18,arbitrum,SN
SLVOrobinhood,"UBS AG ETRACS Silver Shares Covered Call ETNs due April 21, 2033",ETNs,,0x0d88eef8a5c512e146766ba290c29d1530b230ff,18,arbitrum,SLVO
VCITrobinhood,Vanguard Intermediate-Term Corporate Bond ETF,ETFs,,0x5dd2a4f047eba1a5b3ccd80590b8073fb9357fee,18,arbitrum,VCIT
ADTXrobinhood,Aditxt,Stocks,,0x1b94a62381864d2b8bd1ac0423411929361edaca,18,arbitrum,ADTX
HIBLrobinhood,Direxion Daily S&P 500 High Beta Bull 3X,ETFs,,0xdfd65831b491ad1cb07f8efee917180726dd71a3,18,arbitrum,HIBL
VIRTrobinhood,Virtu Financial,Stocks,,0x2adf3c3d9459b4a7eb31a7689796a0d892585fde,18,arbitrum,VIRT
YBITrobinhood,YieldMax Bitcoin Option Income Strategy ETF,Crypto ETFs,,0xeeb3123a33f547eb34f5b68d3e3bb6843b8631d6,18,arbitrum,YBIT
SDIVrobinhood,Global X SuperDividend ETF,ETFs,,0xfde0a48da552c194d709d0f432139d819203df91,18,arbitrum,SDIV
FBCGrobinhood,Fidelity Blue Chip Growth,Stocks,,0x54a416c8dc9ee287ec4ff348feae6c729456e54b,18,arbitrum,FBCG
XPAYrobinhood,Roundhill S&P 500 Target 20 Managed Distribution ETF,ETFs,,0x8fd660ef886b298d2bbe4aae8558a6a58f7704cd,18,arbitrum,XPAY
RYLDrobinhood,Global X Russell 2000 Covered Call,Stocks,,0x89ed48d6f20a2a637f8b103e5696c14c7b227f16,18,arbitrum,RYLD
USHYrobinhood,iShares Broad USD High Yield Corporate Bond ETF,ETFs,,0xb17a2e83c217e3d49fbe3a26fc2360d3c9ad013e,18,arbitrum,USHY
UMACrobinhood,"Unusual Machines, Inc.",Stocks,,0x9c8abb94abb67000162fc2b8f8816accd78d236d,18,arbitrum,UMAC
VVrobinhood,Vanguard Large-Cap ETF,ETFs,,0x14dae4a6631eba0938ea77e432119031bb73a4fc,18,arbitrum,VV
ALLWrobinhood,Spdr Bridgewater All Weather ETF,ETFs,,0x8d2cc061da79f6826ef06f03df64f3de222f06a4,18,arbitrum,ALLW
ITArobinhood,iShares Dow Jones US Aerospace & Defense ETF,ETFs,,0xb1fee1dbaab5379da238483bc0ee699f64bdef45,18,arbitrum,ITA
XIFRrobinhood,XPLR Infrastructure,Stocks,,0x6fe049dd3466bf03faf2146bdf1df5f02466bc24,18,arbitrum,XIFR
